series_name,model_name,num_seeds,mean_test_mae,std_test_mae,mean_rolling_mae,std_rolling_mae,test_win_count,rolling_win_count,num_free_params,num_compartments,test_win_rate,rolling_win_rate
0-4 yr,constrained_structure_discovery,5,0.09059618134386642,0.001049649267159174,0.12334391220372935,0.015921263028043767,5,5,9,4,1.0,1.0
0-4 yr,probabilistic_seir,5,0.10505329521504492,7.44905037027558e-05,0.18935501719312625,0.0004846214347091465,0,0,9,4,0.0,0.0
0-4 yr,hospitalized_seihr,5,0.11731173556853709,0.00013607370987548962,0.21303663627479574,0.00025033606422241773,0,0,11,5,0.0,0.0
0-4 yr,delayed_observation_seir,5,0.11798036172259038,0.0001351863852706435,0.2125732477606094,0.0026777189382011448,0,0,8,4,0.0,0.0
0-4 yr,deterministic_seir,5,0.11821739666833919,0.00014961708629057522,0.21300107316780345,0.00030641691655394087,0,0,8,4,0.0,0.0
0-4 yr,fractional_seir,5,0.13182043221273598,0.0169469688711101,0.22259074163628512,0.008156317341457605,0,0,9,4,0.0,0.0
18-49 yr,deterministic_seir,5,0.04485927449690014,3.65622500846972e-05,0.07293214016455883,0.0004598232722481964,1,3,8,4,0.2,0.6
18-49 yr,delayed_observation_seir,5,0.04491122097872422,0.0001901164413869402,0.07308048507530249,0.0003650856460518363,1,1,8,4,0.2,0.2
18-49 yr,probabilistic_seir,5,0.04668908438433384,2.5098419882289385e-07,0.08071913853901048,0.0001034084176851225,0,0,9,4,0.0,0.0
18-49 yr,hospitalized_seihr,5,0.0468854556119167,0.002671552011112422,0.07416062665687292,0.0011458158463322691,2,1,11,5,0.4,0.2
18-49 yr,constrained_structure_discovery,5,0.04801746248017238,3.0116648342597847e-07,0.07874183169085136,2.8020034585819543e-07,0,0,6,3,0.0,0.0
18-49 yr,fractional_seir,5,0.0514963063152421,0.013233131886615675,0.09919583141184164,0.015363711556753234,1,0,9,4,0.2,0.0
5-17 yr,constrained_structure_discovery,5,0.00679729036727386,0.004335425723694633,0.053510981400620515,0.004878630842695544,4,0,9,4,0.8,0.0
5-17 yr,hospitalized_seihr,5,0.025351855328093382,0.00016757994241975934,0.054030720194403435,0.00019401797621607106,0,0,11,5,0.0,0.0
5-17 yr,fractional_seir,5,0.02760274900660974,0.020035703911104735,0.08064552917412854,0.0008505363831535608,1,0,9,4,0.2,0.0
5-17 yr,probabilistic_seir,5,0.033700094445742,1.1487076962982556e-06,0.0420241988151443,0.001766034250219815,0,5,9,4,0.0,1.0
5-17 yr,deterministic_seir,5,0.043290522984826316,0.0017381237213785084,0.07871363056058844,0.00283175169633811,0,0,8,4,0.0,0.0
5-17 yr,delayed_observation_seir,5,0.04411215426685858,0.0023543733826016967,0.0815358901979993,0.00793945948202728,0,0,8,4,0.0,0.0
50-64 yr,constrained_structure_discovery,5,0.03716068880467958,2.36309316872801e-08,0.05404298335343975,4.785126990937932e-07,2,1,6,3,0.4,0.2
50-64 yr,hospitalized_seihr,5,0.03727991623235466,0.0003667481473318214,0.05710136204727778,0.003538836100139322,3,0,11,5,0.6,0.0
50-64 yr,probabilistic_seir,5,0.03777310774893098,5.290936612611662e-05,0.06296491445127302,0.00032652022930044957,0,0,9,4,0.0,0.0
50-64 yr,delayed_observation_seir,5,0.03794223993777246,0.00012370443250816923,0.05502303727587739,0.006367823308134689,0,4,8,4,0.0,0.8
50-64 yr,deterministic_seir,5,0.03803292834543418,2.5714073107494523e-05,0.056179518188345136,0.007028752108261271,0,0,8,4,0.0,0.0
50-64 yr,fractional_seir,5,0.09839328512445267,0.009891167489072249,0.13722047402675105,0.008862216721097297,0,0,9,4,0.0,0.0
>= 65 yr,deterministic_seir,5,0.11967210574570622,1.659979048263222e-05,0.22243049639642815,0.0006599368318334534,3,0,8,4,0.6,0.0
>= 65 yr,delayed_observation_seir,5,0.11971753299608427,0.00010191391972703749,0.2222452400479898,0.0003108744495988366,1,1,8,4,0.2,0.2
>= 65 yr,hospitalized_seihr,5,0.12360128847991343,0.0031351890367084896,0.24665750672253717,0.007241322095063595,0,0,11,5,0.0,0.0
>= 65 yr,probabilistic_seir,5,0.12382386192280537,0.0006053741925905382,0.27719488826530764,0.0005650042773545327,0,0,9,4,0.0,0.0
>= 65 yr,constrained_structure_discovery,5,0.1263486059113989,0.003481934853412819,0.18637708942769776,0.023235390726504303,0,4,10,4,0.0,0.8
>= 65 yr,fractional_seir,5,0.19751002303716683,0.07001529293140415,0.4384002765172877,0.0731416400899222,1,0,9,4,0.2,0.0
Overall,delayed_observation_seir,5,0.035056246367390756,7.72364389104073e-05,0.08177858169807234,0.002274857772661248,4,2,8,4,0.8,0.4
Overall,deterministic_seir,5,0.035204806434464705,0.00022107062906831444,0.08189856532472815,0.0008254021585720257,1,2,8,4,0.2,0.4
Overall,probabilistic_seir,5,0.03681975244531962,9.52282290104364e-06,0.09586517334335222,0.0002713814447593487,0,0,9,4,0.0,0.0
Overall,constrained_structure_discovery,5,0.03696727293073786,1.1346177865109456e-07,0.09590858176503152,0.014070892116755988,0,0,6,3,0.0,0.0
Overall,hospitalized_seihr,5,0.03807674234695812,0.0016145356347388947,0.08430133453861598,0.0022652849317432873,0,1,11,5,0.0,0.2
Overall,fractional_seir,5,0.08588192442709962,0.028895990529187454,0.1311555149013284,0.018123431097272713,0,0,9,4,0.0,0.0
